"id1","id2"
"CHE141","MAT125"
"CHE141","MAT150"
"CHE141","CHE141L"
"CHE252","CHE142"
"CHE252","CHE142L"
"CHE252","CHE252L"
"CHE252L","CHE142"
"CHE252L","CHE142L"
"CHE294","FYS101"
"CHE294","FYS110"
"CHE301","CHE142"
"CHE301","CHE142L"
"CHE301","CHE301L"
"CHE301L","CHE142"
"CHE301L","CHE142L"
"CHE301L","CHE301"
"CHE302","CHE301"
"CHE302","CHE301L"
"CHE352","CHE252"
"CHE352","CHE252L"
"CHE352","CHE352L"
"CHE394","CHE302"
"CHE394","CHE302L"
"CHE401","MAT175"
"CHE401","MAT275"
"CHE401","CHE302"
"CHE401","CHE302L"
"CHE401L","MAT175"
"CHE401L","MAT275"
"CHE401L","CHE302"
"CHE401L","CHE302L"
"CHE412","BIO201"
"CHE412","BIO201L"
"CHE412","BIO210L"
"CHE412","CHE301"
"CHE412","CHE301L"
"CHE420","CHE302"
"CHE420","CHE302L"
"CHE420L","CHE302"
"CHE420L","CHE302L"
"CHE464","CHE141"
"CHE464","CHE142"
"CHE464","MAT175"
"CHE464","PHY271"
"CHE464","PHY272"
"CHE464","CHE464L"
"CHE465","CHE464"
"CHE465","CHE464L"
"CHE465","CHE465L"
"CSC150","MAT150"
"CSC150","MAT175"
"CSC150","MAT275"
"CSC160","CSC150"
"CSC235","CSC152"
"CSC270","CSC150"
"CSC340","CSC152"
"GEO320","ENV160"
"GEO320","CHE141"
"GEO320","PHY231"
"GEO320","GEO101"
"GEO410","GEO101"
"GEO410","GEO320"
"GEO410","GEO310"
"MAT125","MAT101"
"MAT150","MAT102"
"MAT175","MAT150"
"MAT175","MAT150"
"MAT175","MAT130"
"MAT212","MAT125"
"MAT212","MAT175"
"MAT212","MAT275"
"MAT252","MAT280"
"MAT252","MAT281"
"MAT252","MAT282"
"MAT252","MAT283"
"MAT275","MAT175"
"MAT280","MAT175"
"MAT280","MAT275"
"MAT281","MAT175"
"MAT281","MAT275"
"MAT282","MAT175"
"MAT282","MAT275"
"MAT283","MAT175"
"MAT283","MAT275"
"MAT311","MAT280"
"MAT311","MAT281"
"MAT311","MAT282"
"MAT311","MAT283"
"MAT352","MAT275"
"MAT361","MAT280"
"MAT361","MAT281"
"MAT361","MAT282"
"MAT361","MAT283"
"MAT370","MAT280"
"MAT370","MAT281"
"MAT370","MAT282"
"MAT370","MAT283"
"MAT372","MAT280"
"MAT372","MAT281"
"MAT372","MAT282"
"MAT372","MAT283"
"MAT431","MAT280"
"MAT431","MAT281"
"MAT431","MAT282"
"MAT431","MAT283"
"MAT441","MAT280"
"MAT441","MAT281"
"MAT441","MAT282"
"MAT441","MAT283"
"MAT451","MAT280"
"MAT451","MAT281"
"MAT451","MAT282"
"MAT451","MAT283"
"MAT461","MAT280"
"MAT461","MAT281"
"MAT461","MAT282"
"MAT461","MAT283"
"PHY170","MAT150"
"PHY210","PHY271"
"PHY231","MAT125"
"PHY231","PHY231L"
"PHY232","PHY231"
"PHY232","PHY232L"
"PHY240","MAT175"
"PHY240","PHY240L"
"PHY272","PHY271"
"PHY272","PHY271L"
"PHY272","PHY272L"
"PHY301","PHY272"
"PHY301","MAT352"
"PHY313","PHY272"
"PHY330","PHY272"
"PHY330","MAT352"
"PHY400","PHY272"
"PHY400","MAT275"
"PHY450","PHY272"
"PHY450","PHY272L"
"PHY496","PHY199"
"PHY496","PHY231"
"PHY496","PHY271"
